Timestamp,Who?,What?,Where?,Amount,Notes
5/12/2015 21:04:22,Paulo,Food,Costco,4,yummy
5/12/2015 21:08:29,Paulo,Contingency,Strings attached ,164,"Racket, yay"
5/12/2015 21:32:52,Joint,Housing,apartment,410,assessment May
5/12/2015 21:33:18,Paulo,Health,BCBS,240,I hate this crap
5/12/2015 21:34:37,Paulo,Extra_Phone_Other,PS1,40,PS1
5/12/2015 21:35:12,Joint,Extra_Phone_Other,Lakeshore,140,Already cancelled membership
5/12/2015 21:38:15,Joint,Comcast,home,80,done
5/12/2015 21:38:45,Joint,Electric,home,40,done
5/13/2015 12:10:48,Paulo,Food,Aloha,8.29,"Yum, free belly can of mtn dew"
5/13/2015 20:26:08,Joint,Food,Aloha,18,I love aloha
5/14/2015 9:25:08,Paulo,Contingency,Amazon charger laptop,9,
5/14/2015 12:28:23,Joint,Grocery,Jewel,24,Yay
5/14/2015 12:38:03,Paulo,Food,Burger King,8,"2 dc, 3 fries small"
5/14/2015 21:11:18,Paulo,Extra_Phone_Other,Apple,1310,Macbookpro
5/15/2015 19:41:19,Paulo,Food,Mariano's,13,
5/15/2015 20:21:02,Joint,Grocery,Costco,72,
5/15/2015 20:42:11,Joint,Gas_Car_Insurance,Costco Gas,40.15,Gas
5/15/2015 20:51:35,Joint,Extra_Phone_Other,Mid north vet,38,Butler food
5/15/2015 20:53:30,Paulo,Extra_Phone_Other,Petco,9,Butt litter